id;company;market_sector_id;symbol;bdr;cnpj;main_activity;market_sector;website
175;CEEE-GT;3;EEEL4;BR;92.715.812/0001-31;Geração E Transmissão de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.ceee.com.br
176;CEG;12;CEGR3;BR;33.938.119/0001-69;Distribuição de Gás Natural Na Região Metropolitana Do Estado Do Rio de Janeiro.;Utilidade Pública / Gás / Gás;www.gasnaturalfenosa.com.br
177;CELESC;3;CLSC3;BR;83.878.892/0001-55;Holding Do Setor de Energia;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.celesc.com.br
178;CELESC;3;CLSC4;BR;83.878.892/0001-55;Holding Do Setor de Energia;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.celesc.com.br
179;CELGENE CORP;1;CLGN34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Consumo não Cíclico / Saúde / Medicamentos e Outros Produtos;Não Informado
180;CELGPAR;3;GPAR3;BR;08.560.444/0001-93;Participação em Outras Sociedades Como Acionista Ou Sócia-cotista E. Ainda. A Exploração Direta Ou Indireta de Serviços de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;http://ricelgpar.celggt.com/
181;CELPA;3;CELP3;BR;04.895.728/0001-80;Distribuição de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.celpa.com.br
182;CELPA;3;CELP5;BR;04.895.728/0001-80;Distribuição de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.celpa.com.br
183;CELPA;3;CELP6;BR;04.895.728/0001-80;Distribuição de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.celpa.com.br
184;CELPA;3;CELP7;BR;04.895.728/0001-80;Distribuição de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.celpa.com.br
185;CELPE;3;CEPE3;BR;10.835.932/0001-08;Estudar. Projetar. Construir E Explorar Os Sistemas de Distribuição E Comercialização Aos Consumidores Finais de Energia Elétrica. Bem Como A Geraçãa de Energia Elétrica em Sistema Isolado.;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.celpe.com.br
